participant_id,full_name,nationality,gender,age_group,occupation,university_institution,study_level,year_of_study,subject_area,prior_ai_experience,condition,session_datetime,session_duration_mins,suspicion_probe,financial_literacy_score_0_3,need_for_cognition_1_5,technology_disposition_1_5,ai_follow_rate_0_1,decision_accuracy_rate_0_1,calibration_score,avg_confidence_1_5,avg_response_time_ms,ai_errors_caught_0_3,override_correct_count,override_wrong_count,mental_model_estimate_pct,mental_model_accurate,trust_in_automation_1_7,perceived_fairness_1_7,appeal_intent_1_5,retrust_organisation_1_5
P0089,Yan Luo,Chinese,Female,23-27,Undergraduate student,University of Reading,BSc / BEng / BA,PG Year 2,Information Technology,High,A_no_explanation,2026-08-05 14:20:42,41.2,No,0,2.6,4.1,0.5,0.4,-0.185,3.4,14477,1,1,4,69,True,5.03,2.39,1,3
P0090,Mizanur Rahman,Bangladeshi,Male,33-40,Undergraduate student,Goldsmiths University of London,BSc / BEng / BA,Year 3,Health Informatics,Low,B_surface,2026-08-06 12:23:11,58.5,No,2,3.8,2.4,0.7,0.6,-0.421,2.8,12798,1,1,2,72,True,3.77,4.1,3,4
P0091,Lily Scott,British,Female,18-22,PhD researcher,Coventry University,BSc / BEng / BA,Year 1,Media & Communication,Low,C_counterfactual,2026-08-02 10:35:55,47.3,Somewhat — thought it was about usability,3,1.9,3.3,0.7,0.6,-0.204,3.0,17717,1,1,2,73,True,4.33,4.15,4,2
P0092,Andrei Popescu,Other,Male,28-32,Undergraduate student,University of Dhaka,BSc / BEng / BA,Year 2,Cybersecurity,Low,C_counterfactual,2026-08-03 10:48:16,53.3,No,3,2.5,4.1,0.1,0.4,0.681,3.4,22530,3,3,6,58,False,3.87,5.77,5,2
P0093,Rahul Verma,Indian,Male,23-27,Postgraduate student (MSc),London Metropolitan University,MSc / MA / MEng,Year 4,Information Technology,Moderate,C_counterfactual,2026-08-15 15:33:55,68.7,No,2,2.7,4.4,0.7,0.8,0.323,3.0,17395,2,2,1,86,False,5.17,4.72,4,5
P0094,Jeba Akter,Bangladeshi,Female,41-50,Graduate (recent),BRAC University,BSc / BEng / BA,PG Year 2,International Business,None,C_counterfactual,2026-08-04 13:40:06,52.2,No,3,3.2,3.4,0.5,0.6,-0.089,3.7,18024,2,2,3,85,False,3.67,4.87,4,4
P0095,Ryan Green,British,Male,28-32,Undergraduate student,Oxford Brookes University,MSc / MA / MEng,Year 4,Media & Communication,Low,A_no_explanation,2026-08-05 16:13:01,65.5,Unsure,2,2.7,3.0,0.4,0.5,0.0,2.8,17563,2,2,4,72,True,3.74,3.29,3,4
P0096,Said Al-Rashidi,Other,Male,23-27,Postgraduate student (MSc),University of Bedfordshire,MSc / MA / MEng,PhD Year 2,Media & Communication,Moderate,B_surface,2026-08-02 14:15:13,42.2,No,3,2.5,2.3,0.5,0.4,-0.187,3.2,17466,1,1,4,59,False,4.26,4.35,2,3
P0097,Bisi Adeyemi,Nigerian,Female,23-27,Undergraduate student,University of Dhaka,Prefer not to say,Year 1,International Business,Moderate,A_no_explanation,2026-08-08 13:32:54,49.5,No,1,4.4,4.5,0.6,0.5,-0.459,3.2,14185,1,1,3,68,True,5.49,4.56,2,2
P0098,Emily Clarke,British,Female,23-27,PhD researcher,University of Hertfordshire,MSc / MA / MEng,PhD Year 3,International Business,Moderate,B_surface,2026-08-04 15:08:32,44.4,No,2,3.9,3.9,0.4,0.3,-0.175,3.2,17182,1,1,5,73,True,4.07,4.85,3,4
P0099,Tayo Adebisi,Nigerian,Male,28-32,Postgraduate student (MSc),BRAC University,MSc / MA / MEng,PhD Year 1,Health Informatics,None,A_no_explanation,2026-08-04 11:50:55,59.2,No,2,4.3,2.4,0.8,0.5,-0.535,3.2,14683,0,0,2,43,False,4.82,4.45,3,2
P0100,Shafiqur Rahman,Bangladeshi,Male,28-32,Postgraduate student (MSc),Anglia Ruskin University,BSc / BEng / BA,Year 2,Cybersecurity,High,B_surface,2026-08-12 11:49:55,61.8,No,2,4.9,4.8,0.5,0.2,0.212,3.1,17309,0,0,5,79,True,5.06,4.43,2,3
P0101,Syafiq Ramli,Malaysian,Male,23-27,Postgraduate student (MSc),"University for the Creative Arts, Farnham",MSc / MA / MEng,Completed,Health Informatics,Moderate,C_counterfactual,2026-08-02 14:08:35,52.2,No,2,1.2,2.9,0.6,0.5,0.469,3.3,18904,1,1,3,65,True,4.71,5.61,3,2
P0102,Nurjahan Begum,Bangladeshi,Female,51+,PhD researcher,Coventry University,MSc / MA / MEng,PhD Year 3,Data Science & AI,Low,B_surface,2026-08-11 12:23:41,54.4,No,3,2.9,2.2,0.4,0.3,-0.375,3.7,18475,1,1,5,66,True,2.69,4.25,4,3
P0103,Syafiqah Ramli,Malaysian,Female,28-32,Postgraduate student (MSc),University of Hertfordshire,BSc / BEng / BA,Year 3,Information Technology,Low,B_surface,2026-08-04 13:34:39,58.6,Somewhat — thought it was about AI accuracy,0,4.7,3.8,0.5,0.6,0.25,3.4,16666,2,2,3,82,False,5.14,4.38,5,5
P0104,Bayzid Hossain,Bangladeshi,Male,23-27,PhD researcher,Oxford Brookes University,BSc / BEng / BA,Year 4,Health Informatics,Moderate,A_no_explanation,2026-08-13 15:12:09,48.8,Somewhat — thought it was about usability,0,4.3,3.4,0.7,0.8,0.134,3.2,13485,2,2,1,73,True,4.92,2.99,3,3
P0105,Runa Begum,Bangladeshi,Female,23-27,Postgraduate student (MSc),University of Reading,MSc / MA / MEng,PG Year 2,Software Engineering,Low,C_counterfactual,2026-08-13 16:35:45,35.9,No,3,3.9,4.1,0.4,0.5,-0.229,3.2,20365,2,2,4,79,True,2.93,3.46,4,3
P0106,Oliver Smith,British,Male,33-40,Postgraduate student (MSc),Anglia Ruskin University,MSc / MA / MEng,PG Year 1,Software Engineering,Low,C_counterfactual,2026-08-16 10:46:09,51.5,Yes — I thought it was about trust in AI,2,2.2,3.1,0.5,0.4,-0.175,2.9,18422,1,1,4,55,False,4.35,4.2,3,2
P0107,Mia Adams,British,Female,28-32,Undergraduate student,University of Bedfordshire,PhD / MPhil,PhD Year 1,Business & Management,Moderate,B_surface,2026-08-08 10:51:52,54.0,Somewhat — thought it was about AI accuracy,2,2.7,2.5,0.7,0.4,0.0,3.0,15714,0,0,3,95,False,5.12,4.43,1,3
P0108,Jack Taylor,British,Male,18-22,Working professional,BRAC University,PhD / MPhil,PG Year 2,Software Engineering,Moderate,A_no_explanation,2026-08-05 16:03:51,67.7,No,1,3.0,2.1,0.3,0.0,0.0,3.0,17772,0,0,7,67,True,3.79,3.58,2,3
P0109,Andrew Wright,British,Male,23-27,Student & part-time worker,"University for the Creative Arts, Farnham",BSc / BEng / BA,Year 3,International Business,Low,C_counterfactual,2026-08-13 09:17:50,52.1,No,0,4.1,3.2,0.6,0.3,0.034,3.3,18701,0,0,4,63,True,5.38,5.35,4,2
P0110,Nafis Ahmed,Bangladeshi,Male,18-22,Undergraduate student,University of Hertfordshire,Prefer not to say,Year 2,Business & Management,Moderate,C_counterfactual,2026-08-16 11:52:11,71.9,Somewhat — thought it was about AI accuracy,0,2.3,2.4,0.5,0.6,-0.272,2.8,19441,2,2,3,68,True,3.71,5.49,4,4
P0111,Emeka Eze,Nigerian,Male,33-40,Postgraduate student (MSc),Oxford Brookes University,PhD / MPhil,Completed,Health Informatics,Moderate,B_surface,2026-08-02 10:17:34,43.9,Somewhat — thought it was about usability,1,3.3,3.8,0.5,0.6,0.314,3.3,18324,2,2,3,100,False,3.97,4.08,5,4
P0112,Pradeep Iyer,Indian,Male,23-27,Undergraduate student,University of East London,MBA,PG Year 1,Digital Marketing,None,B_surface,2026-08-11 12:08:29,62.9,No,0,1.6,3.6,0.8,0.5,-0.573,3.1,14958,0,0,2,49,False,4.06,5.01,2,3
P0113,Saiful Islam,Bangladeshi,Male,18-22,Student & part-time worker,BUET,MSc / MA / MEng,Year 4,Digital Marketing,High,B_surface,2026-08-03 10:11:44,56.6,Yes — I thought it was about trust in AI,2,3.0,4.0,0.7,0.6,-0.064,2.7,13131,1,1,2,92,False,4.84,4.34,3,3
P0114,Pooja Yadav,Indian,Female,23-27,Undergraduate student,Coventry University,BSc / BEng / BA,Year 4,Cybersecurity,None,C_counterfactual,2026-08-05 09:48:11,56.3,Somewhat — thought it was about AI accuracy,1,2.8,2.6,0.7,0.8,-0.128,3.3,16785,2,2,1,85,False,4.42,5.95,3,4
P0115,Farhana Azmi,Malaysian,Female,23-27,Student & part-time worker,North South University,MSc / MA / MEng,Year 2,Human-Computer Interaction,High,C_counterfactual,2026-08-02 10:26:41,57.9,No,1,2.0,4.2,0.5,0.4,-0.228,3.0,20017,1,1,4,84,False,3.16,5.27,3,3
P0116,Umme Habiba,Bangladeshi,Female,28-32,Undergraduate student,Middlesex University,BSc / BEng / BA,PhD Year 2,Digital Marketing,None,C_counterfactual,2026-08-09 16:31:58,60.7,No,2,5.0,3.0,0.4,0.5,-0.128,3.7,21227,2,2,4,59,False,3.99,4.96,4,3
P0117,Monirul Islam,Bangladeshi,Male,41-50,Undergraduate student,Anglia Ruskin University,MSc / MA / MEng,Year 2,Cybersecurity,None,A_no_explanation,2026-08-06 15:01:19,52.3,No,3,3.1,2.9,0.5,0.4,-0.264,3.0,17064,1,1,4,69,True,3.21,4.57,2,3
P0118,Shakib Al Hasan,Bangladeshi,Male,18-22,Undergraduate student,University of Westminster,BSc / BEng / BA,Year 4,Media & Communication,High,A_no_explanation,2026-08-03 11:32:23,57.4,No,0,5.0,4.2,0.5,0.2,0.459,3.2,15974,0,0,5,50,False,5.16,5.32,3,2
P0119,Nabilah Fikri,Malaysian,Female,33-40,Postgraduate student (MSc),BRAC University,MBA,Completed,Human-Computer Interaction,Low,A_no_explanation,2026-08-17 15:05:29,41.5,Unsure,0,4.3,3.4,0.6,0.5,-0.12,2.9,15914,1,1,3,62,True,6.21,2.65,2,4
P0120,Priya Sharma,Indian,Female,23-27,PhD researcher,Anglia Ruskin University,MSc / MA / MEng,Year 4,Health Informatics,Moderate,A_no_explanation,2026-08-05 13:09:57,38.6,No,0,2.8,4.3,0.7,0.8,0.228,3.0,16899,2,2,1,40,False,5.13,6.48,3,3
P0121,Seema Tiwari,Indian,Female,18-22,Undergraduate student,Kingston University London,Not a student,PhD Year 2,Computer Science,High,C_counterfactual,2026-08-03 12:09:45,55.3,Somewhat — thought it was about usability,2,3.4,3.1,0.3,0.6,0.6,2.8,22692,3,3,4,80,True,3.6,4.45,4,2
P0122,Chloe Martin,British,Female,18-22,Working professional,London Metropolitan University,HND / Foundation,Year 3,Media & Communication,Low,B_surface,2026-08-02 15:02:30,49.7,No,3,2.2,1.9,0.8,0.7,-0.535,3.2,14741,1,1,1,81,False,3.04,6.03,3,2
P0123,Anwara Begum,Bangladeshi,Female,28-32,Postgraduate student (MSc),Daffodil International University,BSc / BEng / BA,PhD Year 2,Human-Computer Interaction,Low,A_no_explanation,2026-08-02 09:03:06,63.3,No,0,2.9,2.9,0.7,0.4,0.341,2.8,14214,0,0,3,63,True,5.73,4.96,3,3
P0124,Azlan Ishak,Malaysian,Male,18-22,Undergraduate student,"University for the Creative Arts, Farnham",BSc / BEng / BA,Year 2,Human-Computer Interaction,High,A_no_explanation,2026-08-06 12:37:54,52.5,Somewhat — thought it was about usability,2,3.5,1.8,0.5,0.6,-0.228,3.0,16992,2,2,3,54,False,4.77,3.54,4,4
P0125,Wei Song,Chinese,Female,33-40,Graduate (recent),University of Westminster,BSc / BEng / BA,Year 2,Health Informatics,High,C_counterfactual,2026-08-04 11:21:48,51.0,No,2,3.4,3.4,0.4,0.3,0.089,3.2,20736,1,1,5,68,True,3.58,3.82,3,2
P0126,Shan Lin,Chinese,Female,41-50,Undergraduate student,Goldsmiths University of London,Prefer not to say,PG Year 1,Cybersecurity,Moderate,C_counterfactual,2026-08-03 09:10:32,57.9,No,2,3.8,4.6,0.3,0.4,0.134,3.6,20947,2,2,5,63,True,4.21,5.89,2,2
P0127,Minhajul Abedin,Bangladeshi,Male,33-40,Graduate (recent),University of Hertfordshire,BSc / BEng / BA,Year 4,Human-Computer Interaction,Low,C_counterfactual,2026-08-02 11:55:52,65.9,Unsure,2,3.6,4.2,0.5,0.6,0.304,3.5,18117,2,2,3,65,True,4.54,4.35,3,3
P0128,Abul Kashem,Bangladeshi,Male,18-22,Postgraduate student (MBA),Brunel University London,BSc / BEng / BA,Completed,Graphic Design,Moderate,A_no_explanation,2026-08-02 10:27:42,45.5,Somewhat — thought it was about AI accuracy,2,4.6,2.0,0.6,0.5,-0.5,3.2,16493,1,1,3,33,False,3.91,3.89,3,2
P0129,Motiur Rahman,Bangladeshi,Male,23-27,Postgraduate student (MSc),Kingston University London,HND / Foundation,Year 4,Psychology,High,C_counterfactual,2026-08-04 13:12:53,74.7,No,3,3.8,3.7,0.5,0.6,0.152,3.1,19309,2,2,3,84,False,3.75,5.22,4,3
P0130,Linh Nguyen,Other,Non-binary,23-27,Postgraduate student (MBA),Anglia Ruskin University,MSc / MA / MEng,Completed,Media & Communication,High,B_surface,2026-08-02 10:15:14,61.5,No,0,4.0,3.8,0.5,0.4,-0.313,2.9,17752,1,1,4,93,False,3.72,5.42,3,4
P0131,Ratna Akter,Bangladeshi,Female,28-32,Undergraduate student,London Metropolitan University,BSc / BEng / BA,PhD Year 2,Computer Science,None,C_counterfactual,2026-08-04 14:13:23,58.7,No,2,2.3,3.7,0.7,0.6,0.041,3.3,18124,1,1,2,92,False,3.0,5.44,2,5
P0132,Nabila Islam,Bangladeshi,Female,23-27,Student & part-time worker,Oxford Brookes University,HND / Foundation,Year 3,Information Technology,Moderate,C_counterfactual,2026-08-02 10:34:55,42.8,Somewhat — thought it was about usability,2,2.2,3.2,0.5,0.4,0.281,3.2,19889,1,1,4,79,True,3.54,5.52,3,2
P0133,Zara Qureshi,Pakistani,Female,23-27,PhD researcher,University of Bedfordshire,BSc / BEng / BA,PhD Year 3,Computer Science,None,C_counterfactual,2026-08-03 13:46:27,42.1,Unsure,1,3.4,4.0,0.5,0.6,0.612,3.6,18329,2,2,3,76,True,4.31,4.0,5,3
P0134,Noor Baig,Pakistani,Female,41-50,Undergraduate student,Oxford Brookes University,Prefer not to say,Year 3,Cybersecurity,None,C_counterfactual,2026-08-03 14:54:23,50.9,Somewhat — thought it was about usability,2,3.0,5.0,0.7,0.6,-0.443,3.5,17082,1,1,2,56,False,3.47,3.71,5,3
P0135,Liam Robinson,British,Male,18-22,Student & part-time worker,Brunel University London,BSc / BEng / BA,Year 4,Software Engineering,High,B_surface,2026-08-04 11:19:40,56.2,No,0,2.8,4.3,0.4,0.5,0.0,2.8,16345,2,2,4,62,True,4.21,3.36,3,4
P0136,Himel Hossain,Bangladeshi,Male,18-22,Postgraduate student (MSc),University of Bedfordshire,Not a student,Year 1,Media & Communication,Moderate,A_no_explanation,2026-08-02 14:59:35,54.8,No,1,4.0,4.4,0.6,0.3,0.171,3.4,16047,0,0,4,56,False,5.2,4.94,1,4
P0137,Nisha Iyer,Indian,Female,33-40,Graduate (recent),BUET,BSc / BEng / BA,Year 1,Psychology,High,B_surface,2026-08-02 16:30:05,39.0,No,1,2.6,3.1,0.8,0.7,-0.184,3.1,15177,1,1,1,66,True,4.01,6.08,4,4
P0138,Farhan Hossain,Bangladeshi,Male,18-22,Postgraduate student (MSc),University of Hertfordshire,MSc / MA / MEng,PG Year 1,Computer Science,Moderate,C_counterfactual,2026-08-04 11:47:12,54.6,No,3,2.4,3.8,0.5,0.6,0.227,2.9,17196,2,2,3,76,True,3.36,6.73,5,4
P0139,Hafiz Uddin,Bangladeshi,Male,51+,Postgraduate student (MSc),North South University,BSc / BEng / BA,PG Year 2,Finance & Accounting,Moderate,C_counterfactual,2026-08-07 10:48:05,56.0,No,3,2.0,2.5,0.7,0.8,0.075,2.6,19389,2,2,1,75,True,3.16,6.06,3,4
P0140,Taslima Begum,Bangladeshi,Female,18-22,Undergraduate student,BUET,MBA,Year 3,Computer Science,Moderate,A_no_explanation,2026-08-06 12:45:43,50.3,Somewhat — thought it was about usability,1,4.3,2.8,0.6,0.5,0.196,3.4,14015,1,1,3,63,True,5.11,4.07,2,4
P0141,Urmila Dubey,Indian,Female,23-27,Working professional,BUET,BSc / BEng / BA,PG Year 1,Information Technology,Moderate,C_counterfactual,2026-08-07 16:44:10,58.1,No,3,2.7,3.4,0.3,0.6,-0.228,3.0,21111,3,3,4,78,True,3.47,5.64,4,2
P0142,Morshedul Islam,Bangladeshi,Male,51+,Postgraduate student (MSc),Middlesex University,BSc / BEng / BA,PG Year 1,Graphic Design,Moderate,C_counterfactual,2026-08-10 10:11:13,49.7,Somewhat — thought it was about usability,3,2.3,3.9,0.5,0.6,0.187,3.2,18706,2,2,3,51,False,4.85,5.47,2,3
P0143,Zahid Hasan,Bangladeshi,Male,33-40,Postgraduate student (MSc),University of Surrey,Not a student,PhD Year 2,Human-Computer Interaction,High,B_surface,2026-08-13 13:12:57,65.3,No,2,3.5,2.3,0.5,0.4,0.656,2.8,17460,1,1,4,78,True,4.57,5.66,4,4
P0144,Nasir Uddin,Bangladeshi,Male,18-22,Undergraduate student,"University for the Creative Arts, Farnham",BSc / BEng / BA,PhD Year 2,Health Informatics,Low,B_surface,2026-08-02 13:01:35,48.9,No,3,2.7,3.5,0.6,0.3,-0.175,3.2,16436,0,0,4,72,True,3.49,6.45,3,2
P0145,Shahid Hussain,Pakistani,Male,18-22,Postgraduate student (MSc),University of East London,BSc / BEng / BA,PG Year 1,Media & Communication,Moderate,B_surface,2026-08-08 10:41:57,50.5,Somewhat — thought it was about AI accuracy,2,3.8,4.8,0.7,0.6,-0.25,2.6,15870,1,1,2,57,False,3.21,5.56,4,3
P0146,Lamia Hossain,Bangladeshi,Prefer not to say,28-32,Postgraduate student (MBA),North South University,MSc / MA / MEng,PhD Year 1,Health Informatics,Low,B_surface,2026-08-02 11:18:47,50.6,No,1,3.5,2.2,0.6,0.5,0.0,3.4,16964,1,1,3,59,False,2.94,4.75,3,3
P0147,Ella Hall,British,Female,18-22,Undergraduate student,Oxford Brookes University,BSc / BEng / BA,PhD Year 1,Psychology,None,C_counterfactual,2026-08-09 12:25:00,49.0,No,2,3.0,3.0,0.7,0.4,0.527,3.0,18311,0,0,3,65,True,3.82,4.07,3,2
P0148,Tariq Mahmood,Pakistani,Male,18-22,Postgraduate student (MSc),University of Westminster,PhD / MPhil,Year 4,Data Science & AI,Low,A_no_explanation,2026-08-06 14:33:29,50.5,No,1,2.7,4.7,0.8,0.5,0.111,2.7,14549,0,0,2,55,False,4.06,4.52,2,3
P0149,Sophia Harris,British,Female,18-22,Undergraduate student,Oxford Brookes University,BSc / BEng / BA,Year 4,Education Technology,Moderate,C_counterfactual,2026-08-04 11:53:22,36.9,No,0,3.2,3.6,0.4,0.7,-0.069,2.9,21323,3,3,3,77,True,4.15,4.91,4,3
P0150,Charlie Davis,British,Male,18-22,Working professional,Kingston University London,BSc / BEng / BA,PhD Year 1,International Business,Moderate,C_counterfactual,2026-08-13 14:08:06,48.3,Unsure,2,4.1,3.4,0.5,0.6,0.187,3.2,18456,2,2,3,89,False,4.86,4.09,4,2
P0151,Naveed Chaudhry,Pakistani,Male,41-50,Undergraduate student,Kingston University London,PhD / MPhil,Year 1,International Business,None,A_no_explanation,2026-08-11 10:35:14,49.9,No,0,3.3,3.5,0.6,0.5,0.0,2.6,13917,1,1,3,81,False,4.29,2.85,1,3
P0152,Khadija Begum,Bangladeshi,Female,23-27,PhD researcher,Goldsmiths University of London,MBA,PG Year 2,Graphic Design,Low,A_no_explanation,2026-08-03 12:29:24,53.3,No,2,3.9,2.9,0.8,0.7,-0.163,3.5,12467,1,1,1,72,True,4.76,3.25,3,4
P0153,Jean Baptiste,Other,Male,33-40,Postgraduate student (MSc),North South University,BSc / BEng / BA,PG Year 2,Health Informatics,None,C_counterfactual,2026-08-03 16:40:37,65.4,Unsure,3,4.4,4.3,0.6,0.5,0.229,3.8,18448,1,1,3,92,False,3.02,5.5,3,1
P0154,Zahirul Islam,Bangladeshi,Male,23-27,Postgraduate student (MSc),University of Reading,BSc / BEng / BA,PhD Year 3,Information Technology,Moderate,A_no_explanation,2026-08-09 09:59:44,50.1,Unsure,1,2.4,3.0,0.4,0.5,0.143,2.9,17272,2,2,4,64,True,3.98,2.95,1,2
P0155,Sunita Mehta,Indian,Female,18-22,Undergraduate student,BRAC University,BSc / BEng / BA,PG Year 2,Information Technology,Low,C_counterfactual,2026-08-16 15:20:48,52.6,No,1,3.8,3.2,0.7,0.8,-0.06,2.9,16412,2,2,1,62,True,3.84,5.12,4,4
P0156,Radha Pandey,Indian,Female,28-32,Undergraduate student,Anglia Ruskin University,MSc / MA / MEng,Year 1,Finance & Accounting,Moderate,C_counterfactual,2026-08-06 11:43:05,48.2,Yes — I thought it was about trust in AI,3,1.8,2.8,0.5,0.6,0.153,3.4,20134,2,2,3,68,True,3.6,5.17,3,4
P0157,Meera Verma,Indian,Female,18-22,Postgraduate student (MSc),University of Surrey,PhD / MPhil,Completed,International Business,Low,A_no_explanation,2026-08-02 14:29:22,56.1,Somewhat — thought it was about usability,3,3.6,3.9,0.7,0.6,-0.323,3.0,15591,1,1,2,52,False,4.9,4.33,4,4
P0158,Mehedi Mahmud,Bangladeshi,Male,28-32,Postgraduate student (MSc),"University for the Creative Arts, Farnham",MSc / MA / MEng,PG Year 1,Finance & Accounting,High,B_surface,2026-08-15 15:52:50,47.1,No,2,4.3,3.0,0.4,0.7,0.625,2.9,18778,3,3,3,71,True,5.5,5.39,5,3
P0159,Hidayah Ishak,Malaysian,Prefer not to say,41-50,PhD researcher,Daffodil International University,MBA,PG Year 2,Digital Marketing,None,A_no_explanation,2026-08-17 15:52:33,55.4,No,2,4.0,3.0,0.5,0.2,0.667,3.3,15801,0,0,5,72,True,4.62,4.37,3,4
P0160,Alamgir Hossain,Bangladeshi,Male,18-22,Postgraduate student (MSc),London Metropolitan University,Not a student,Year 3,Finance & Accounting,High,C_counterfactual,2026-08-04 10:52:17,55.4,No,3,2.3,3.1,0.6,0.7,0.307,3.3,19834,2,2,2,70,True,4.27,3.44,3,3
P0161,Shakil Ahmed,Bangladeshi,Male,18-22,Undergraduate student,University of East London,MSc / MA / MEng,PG Year 2,Psychology,None,C_counterfactual,2026-08-03 11:02:05,57.0,Yes — I thought it was about trust in AI,2,3.5,3.7,1.0,0.7,-0.218,3.8,16295,0,0,0,70,True,3.86,3.77,4,2
P0162,Mamunur Rashid,Bangladeshi,Male,23-27,Postgraduate student (MBA),"University for the Creative Arts, Farnham",BSc / BEng / BA,Year 1,Software Engineering,Moderate,B_surface,2026-08-03 16:02:04,47.0,No,1,3.2,2.3,0.7,0.8,0.0,3.5,15296,2,2,1,69,True,4.66,6.86,1,2
P0163,Shumon Hasan,Bangladeshi,Male,28-32,Undergraduate student,Daffodil International University,PhD / MPhil,PG Year 1,Software Engineering,None,C_counterfactual,2026-08-12 15:59:28,67.5,No,2,3.7,3.0,0.4,0.3,0.034,3.3,20491,1,1,5,65,True,3.87,5.24,5,4
P0164,Akosua Osei,Other,Female,23-27,Postgraduate student (MSc),"University for the Creative Arts, Farnham",BSc / BEng / BA,Completed,Data Science & AI,Moderate,B_surface,2026-08-05 16:06:24,56.1,No,2,3.5,3.6,0.4,0.5,0.0,2.2,16958,2,2,4,70,True,4.14,4.45,5,3
P0165,Kavitha Nair,Indian,Female,23-27,Undergraduate student,Daffodil International University,Not a student,Year 3,Health Informatics,None,C_counterfactual,2026-08-02 16:29:39,39.1,No,2,3.0,3.7,0.5,0.6,-0.0,3.5,19282,2,2,3,67,True,3.44,6.35,4,4
P0166,Robiul Islam,Bangladeshi,Male,18-22,Postgraduate student (MBA),BRAC University,BSc / BEng / BA,PhD Year 3,Finance & Accounting,Low,C_counterfactual,2026-08-06 14:34:01,50.0,Yes — I thought it was about trust in AI,1,3.2,2.6,0.3,0.4,-0.047,2.8,23310,2,2,5,56,False,3.81,6.16,5,3
P0167,Jia Zheng,Chinese,Female,23-27,Student & part-time worker,University of Dhaka,Not a student,PG Year 2,Finance & Accounting,High,C_counterfactual,2026-08-02 10:57:20,61.0,No,1,3.9,3.7,0.3,0.4,0.344,2.9,20193,2,2,5,84,False,4.28,4.38,5,4
P0168,Alamin Hossain,Bangladeshi,Male,18-22,Undergraduate student,Anglia Ruskin University,PhD / MPhil,Year 4,Psychology,Low,B_surface,2026-08-05 10:01:06,42.9,No,0,4.3,3.7,0.7,0.4,0.365,3.5,14688,0,0,3,67,True,5.18,3.62,3,4
P0169,Qiang He,Chinese,Male,23-27,Student & part-time worker,Coventry University,MSc / MA / MEng,PhD Year 2,Health Informatics,Moderate,A_no_explanation,2026-08-12 13:05:10,42.6,No,1,3.0,2.7,0.7,0.4,0.303,2.9,14448,0,0,3,69,True,4.79,5.41,4,3
P0170,Mayisha Islam,Bangladeshi,Female,33-40,Undergraduate student,Goldsmiths University of London,BSc / BEng / BA,Year 1,Cybersecurity,Moderate,B_surface,2026-08-03 15:55:16,57.2,Unsure,3,2.7,4.2,0.4,0.7,-0.345,3.0,17002,3,3,3,52,False,4.75,5.43,3,3
P0171,Salim Ahmed,Bangladeshi,Male,23-27,Postgraduate student (MSc),Anglia Ruskin University,BSc / BEng / BA,Year 1,Psychology,Moderate,A_no_explanation,2026-08-05 09:02:47,56.5,No,1,2.6,2.4,0.6,0.7,-0.239,3.3,16667,2,2,2,59,False,4.72,4.48,1,3
P0172,Raj Gupta,Indian,Male,33-40,Postgraduate student (MSc),Daffodil International University,MSc / MA / MEng,PG Year 1,Graphic Design,Moderate,B_surface,2026-08-08 10:48:38,47.6,No,2,3.2,2.5,0.4,0.3,0.017,3.3,18008,1,1,5,73,True,3.83,4.04,2,3
P0173,Yasmin Tehrani,Other,Female,28-32,Postgraduate student (MSc),University of Reading,MSc / MA / MEng,PhD Year 3,Graphic Design,Low,A_no_explanation,2026-08-07 15:07:46,50.1,Somewhat — thought it was about usability,1,3.5,3.3,0.7,0.4,0.421,2.8,16364,0,0,3,78,True,5.45,4.95,3,4
P0174,Rina Akter,Bangladeshi,Prefer not to say,18-22,Postgraduate student (MSc),University of East London,BSc / BEng / BA,PhD Year 3,Graphic Design,High,A_no_explanation,2026-08-02 12:45:09,40.2,No,2,2.9,3.9,0.4,0.5,0.333,2.8,16092,2,2,4,56,False,6.23,3.48,2,4
P0175,Tanzia Akter,Bangladeshi,Female,18-22,Postgraduate student (MSc),Anglia Ruskin University,BSc / BEng / BA,PG Year 2,Education Technology,None,C_counterfactual,2026-08-13 11:30:15,45.8,No,0,3.5,3.7,0.6,0.9,0.306,3.8,19218,3,3,1,63,True,4.05,5.37,5,4
P0176,Hao Chen,Chinese,Male,23-27,Postgraduate student (MSc),North South University,BSc / BEng / BA,Year 2,Media & Communication,High,C_counterfactual,2026-08-02 12:45:57,63.4,No,1,4.6,4.6,0.5,0.6,-0.431,3.9,19854,2,2,3,70,True,4.4,5.54,3,4
P0177,Lei Song,Chinese,Male,18-22,Graduate (recent),University of Dhaka,MSc / MA / MEng,Year 4,Cybersecurity,None,B_surface,2026-08-02 14:44:15,42.8,No,1,3.4,5.0,0.5,0.2,0.375,3.4,17919,0,0,5,74,True,4.38,3.97,3,4
P0178,Vinod Pandey,Indian,Male,18-22,Undergraduate student,Brunel University London,MSc / MA / MEng,PG Year 2,Graphic Design,Moderate,A_no_explanation,2026-08-04 13:15:32,47.7,No,0,3.3,4.2,0.8,0.7,0.625,2.9,12221,1,1,1,70,True,5.39,4.61,1,5
P0179,Kwame Asante,Other,Male,33-40,Student & part-time worker,University of Dhaka,MSc / MA / MEng,PhD Year 3,Information Technology,Moderate,B_surface,2026-08-03 12:26:02,62.2,No,2,4.5,3.7,0.4,0.5,0.156,2.7,17665,2,2,4,80,True,5.2,3.5,4,4
